@relation MovimientosAparcado

@attribute distanciaCocheDelante numeric
@attribute distanciaCocheAtras numeric
@attribute velocidad1 numeric
@attribute angulo1 numeric
@attribute tiempo1 numeric
@attribute velocidad2 numeric
@attribute angulo2 numeric
@attribute tiempo2 numeric
@attribute velocidad3 numeric
@attribute angulo3 numeric
@attribute tiempo3 numeric
@attribute velocidad4 numeric
@attribute angulo4 numeric
@attribute tiempo4 numeric
@attribute movimientoscorrectos numeric

@data
4.049798,4.049798,2.761763,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
4.049798,4.049798,2.761763,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
3.860566,3.860566,2.557242,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.860566,3.860566,2.557242,0,1,-2,-25,1,-2,29,1,0,0,0,0
4.260653,4.260653,2.987877,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
4.260653,4.260653,2.987877,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.015737,4.015737,2.72507,0,1,-1.75,-33,1,-1.75,33,1,0,0,0,1
4.015737,4.015737,2.72507,0,1,-1.75,-33,1,-2,33,1,0,0,0,0
4.032276,4.032276,2.742893,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
4.032276,4.032276,2.742893,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.625059,3.625059,2.300159,0,1,-1.75,-33,1,-1.75,33,1,0,0,0,1
3.625059,3.625059,2.300159,0,1,-1.75,-33,1,-2,33,1,0,0,0,0
3.431581,3.431581,2.086381,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.431581,3.431581,2.086381,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
3.854914,3.854914,2.551107,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.854914,3.854914,2.551107,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.75175,3.75175,2.438841,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.75175,3.75175,2.438841,0,1,-2,-25,1,-2,29,1,0,0,0,0
4.181567,4.181567,2.903268,0,1,-2,-25,1,-2,25,1,0,0,0,1
4.181567,4.181567,2.903268,0,1,-2,-25,1,-2.25,25,1,0,0,0,0
3.933475,3.933475,2.636238,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.933475,3.933475,2.636238,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.443961,3.443961,2.350139,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.443961,3.443961,2.350139,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
4.049495,4.049495,2.761437,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
4.049495,4.049495,2.761437,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.981072,3.981072,2.687674,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.981072,3.981072,2.687674,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.822947,3.822947,2.516379,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
3.822947,3.822947,2.516379,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
3.783582,3.783582,2.473542,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.783582,3.783582,2.473542,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.552742,3.552742,2.470555,0,1,-1.75,-31,1,-2,27,1,0,0,0,1
3.552742,3.552742,2.470555,0,1,-1.75,-31,1,-2.25,27,1,0,0,0,0
4.251577,4.251577,2.978179,0,1,-2,-27,1,-1.75,31,1,0,0,0,1
4.251577,4.251577,2.978179,0,1,-2,-27,1,-2,31,1,0,0,0,0
3.690552,3.690552,2.371969,0,1,-2,-25,1,-2,25,1,0,0,0,1
3.690552,3.690552,2.371969,0,1,-2,-25,1,-2.25,25,1,0,0,0,0
3.916909,3.916909,2.618311,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
3.916909,3.916909,2.618311,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
3.859611,3.859611,2.556206,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.859611,3.859611,2.556206,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.742929,3.742929,2.429215,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.742929,3.742929,2.429215,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.775774,3.775774,2.465035,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.775774,3.775774,2.465035,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
4.165774,4.165774,2.886345,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
4.165774,4.165774,2.886345,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
4.037048,4.037048,2.748034,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
4.037048,4.037048,2.748034,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.739394,3.739394,2.425357,0,1,-1.75,-31,1,-2,27,1,0,0,0,1
3.739394,3.739394,2.425357,0,1,-1.75,-31,1,-2.25,27,1,0,0,0,0
3.591532,3.591532,2.513296,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.591532,3.591532,2.513296,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.968299,3.968299,2.67388,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.968299,3.968299,2.67388,0,1,-2,-25,1,-2,29,1,0,0,0,0
4.090445,4.090445,2.805488,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
4.090445,4.090445,2.805488,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
4.046513,4.046513,2.758227,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
4.046513,4.046513,2.758227,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
3.733831,3.733831,2.419282,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.733831,3.733831,2.419282,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
3.589358,3.589358,2.260903,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.589358,3.589358,2.260903,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.043556,4.043556,2.755043,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
4.043556,4.043556,2.755043,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.67466,3.67466,2.354568,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.67466,3.67466,2.354568,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.703804,3.703804,2.386468,0,1,-2,-25,1,-2,25,1,0,0,0,1
3.703804,3.703804,2.386468,0,1,-2,-25,1,-2.25,25,1,0,0,0,0
3.436581,3.436581,2.091939,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.436581,3.436581,2.091939,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
3.587544,3.587544,2.258907,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.587544,3.587544,2.258907,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.180274,4.180274,2.901883,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
4.180274,4.180274,2.901883,0,1,-2,-25,1,-2,29,1,0,0,0,0
4.106927,4.106927,2.823199,0,1,-2,-25,1,-2,25,1,0,0,0,1
4.106927,4.106927,2.823199,0,1,-2,-25,1,-2.25,25,1,0,0,0,0
4.011004,4.011004,2.969967,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
4.011004,4.011004,2.969967,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
3.999924,3.999924,2.708017,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.999924,3.999924,2.708017,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.254122,4.254122,2.980899,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
4.254122,4.254122,2.980899,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.189075,4.189075,2.911311,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
4.189075,4.189075,2.911311,0,1,-2,-25,1,-2,29,1,0,0,0,0
4.14822,4.14822,2.867522,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
4.14822,4.14822,2.867522,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.642262,3.642262,2.319047,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
3.642262,3.642262,2.319047,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
3.683251,3.683251,2.363976,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.683251,3.683251,2.363976,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.8932,3.8932,2.592632,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.8932,3.8932,2.592632,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
4.033104,4.033104,2.743785,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
4.033104,4.033104,2.743785,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.83917,3.83917,2.53401,0,1,-1.75,-33,1,-1.75,33,1,0,0,0,1
3.83917,3.83917,2.53401,0,1,-1.75,-33,1,-2,33,1,0,0,0,0
3.775498,3.775498,2.464735,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.775498,3.775498,2.464735,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.147456,4.147456,2.866702,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
4.147456,4.147456,2.866702,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
3.706382,3.706382,2.389287,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.706382,3.706382,2.389287,0,1,-2,-25,1,-2,29,1,0,0,0,0
4.029408,4.029408,2.739803,0,1,-2,-25,1,-2,25,1,0,0,0,1
4.029408,4.029408,2.739803,0,1,-2,-25,1,-2.25,25,1,0,0,0,0
3.573682,3.573682,2.49364,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.573682,3.573682,2.49364,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.753025,3.753025,2.440232,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.753025,3.753025,2.440232,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.407678,3.407678,2.559783,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.407678,3.407678,2.559783,0,1,-2,-25,1,-2,29,1,0,0,0,0
